query_image,category,color_p5,color_p10,glcm_p5,glcm_p10,hu_p5,hu_p10,orb_p5,orb_p10
processed_dataset\tractor\PB52BOT0QJFP.jpg,tractor,0.0,0.0,0.4,0.3,0.2,0.1,0.4,0.2
processed_dataset\tractor\DFW2GZ2OQJ7L.jpg,tractor,0.0,0.1,0.2,0.2,0.4,0.3,0.2,0.2
processed_dataset\tractor\NQRNBMAQ3M8Q.jpg,tractor,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.1
processed_dataset\tractor\6DMKICYS76T9.jpg,tractor,0.0,0.0,0.4,0.3,0.0,0.0,0.2,0.1
processed_dataset\tractor\WQ6VVTXC5YS7.jpg,tractor,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.1
processed_dataset\tractor\2AKZWVVAD4L1.jpg,tractor,0.2,0.1,0.0,0.2,0.4,0.2,0.0,0.0
processed_dataset\truck\1a639410-5f92-4f85-9a70-0572a6d917d5.jpg,truck,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.1
processed_dataset\truck\Image_64.jpg,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
processed_dataset\truck\87838c74-8412-435d-a451-9b11d7c34d5d.jpg,truck,0.4,0.2,0.0,0.1,0.2,0.1,0.4,0.2
processed_dataset\truck\Image_96.jpg,truck,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2
processed_dataset\truck\9c4d0785-5d9d-428e-8f03-8a2557246eeb.jpg,truck,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.2
processed_dataset\truck\2fe6e8db-8608-49e8-9cd1-f5c8b7301d15.jpg,truck,0.2,0.1,0.0,0.1,0.2,0.1,0.4,0.3
processed_dataset\truck\8a034d3a-0b46-4369-a6c5-dd82125765b7.jpg,truck,0.2,0.1,0.2,0.3,0.4,0.2,0.2,0.2
processed_dataset\truck\3a752c1a-ff8f-4d41-b380-838a58d62734.jpg,truck,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.3
processed_dataset\truck\d0062bce-1583-4e58-bb77-9e05e9d9ac38.jpg,truck,0.4,0.2,0.2,0.1,0.2,0.3,0.2,0.3
processed_dataset\truck\9b34c80c-f6b9-4af3-8160-dec5bae7de29.jpg,truck,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
processed_dataset\van\KL5Q5IWKF4CB.jpg,van,0.6,0.6,0.0,0.1,0.0,0.0,0.6,0.6
processed_dataset\van\T05X2ON95NSC.jpg,van,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.3
processed_dataset\van\H6B03PVCPNV5.jpg,van,0.6,0.5,0.2,0.2,0.4,0.3,0.4,0.4
processed_dataset\van\7WNEH3DRJUYQ.jpg,van,0.4,0.5,0.0,0.0,0.2,0.2,0.4,0.5
processed_dataset\van\H6LJGJSPG51G.jpg,van,0.4,0.3,0.2,0.2,0.0,0.0,0.4,0.4
processed_dataset\van\GS2CHDKAR5UO.jpg,van,0.4,0.3,0.0,0.0,0.4,0.2,0.8,0.6
processed_dataset\van\AKY900P15R94.jpg,van,0.2,0.1,0.0,0.0,0.0,0.1,0.2,0.2
processed_dataset\van\UDA4J4D9KUFU.jpg,van,0.0,0.0,0.2,0.1,0.0,0.3,0.2,0.3
processed_dataset\van\D4J5GKUGQMXI.jpg,van,0.6,0.5,0.0,0.0,0.0,0.1,1.0,1.0
processed_dataset\van\VQNZVFYEJRL8.jpg,van,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.4
